City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Sola,VU,-13.8833,167.55,79.88,80,55,9.82,broken clouds
221,Clinton,US,42.587,-82.9199,91.42,43,33,1.99,scattered clouds
222,Bandarbeyla,SO,9.4942,50.8122,76.3,79,0,26.19,clear sky
223,Mount Gambier,AU,-37.8333,140.7667,49.91,100,75,10.36,broken clouds
224,Chuy,UY,-33.6971,-53.4616,66.07,85,1,5.59,clear sky
225,Port Blair,IN,11.6667,92.75,82.17,86,100,16.6,overcast clouds
226,Nouadhibou,MR,20.931,-17.0347,68.34,92,8,21.88,clear sky
227,Lorengau,PG,-2.0226,147.2712,78.66,83,100,8.66,overcast clouds
228,Karratha,AU,-20.7377,116.8463,69.03,48,55,5.95,broken clouds
229,Mahebourg,MU,-20.4081,57.7,69.26,59,32,16.26,scattered clouds
230,Hasaki,JP,35.7333,140.8333,75.6,79,10,15.75,clear sky
231,Beloha,MG,-25.1667,45.05,62.35,67,61,11.34,broken clouds
232,Yar-Sale,RU,66.8333,70.8333,45.52,84,51,9.1,broken clouds
233,Kurilsk,RU,45.2333,147.8833,62.13,86,3,6.71,clear sky
234,Coquimbo,CL,-29.9533,-71.3436,58.73,67,0,12.66,clear sky
235,Zaysan,KZ,47.4667,84.8667,71.62,42,0,9.1,clear sky
236,Itoman,JP,26.1247,127.6694,80.98,94,75,13.8,light rain
237,Bengkulu,ID,-3.8004,102.2655,74.48,86,2,5.41,clear sky
238,Mar Del Plata,AR,-38.0023,-57.5575,54.09,58,90,5.99,overcast clouds
239,Port-Gentil,GA,-0.7193,8.7815,75.83,79,97,9.55,overcast clouds
240,Samagaltay,RU,50.6022,95.0047,58.06,93,94,4.14,overcast clouds
241,Alice Springs,AU,-23.7,133.8833,53.15,37,40,6.91,scattered clouds
242,Uitenhage,ZA,-33.7576,25.3971,51.39,33,63,6.42,broken clouds
243,Namie,JP,37.4833,141.0,71.98,97,84,7.65,broken clouds
244,Nicoya,CR,10.1483,-85.452,83.75,77,100,3.96,overcast clouds
245,Neyshabur,IR,36.2133,58.7958,82.63,15,0,8.72,clear sky
246,Mazara Del Vallo,IT,37.6641,12.588,83.55,77,1,18.66,clear sky
247,Plettenberg Bay,ZA,-34.0527,23.3716,58.78,47,97,5.41,overcast clouds
248,Iqaluit,CA,63.7506,-68.5145,47.7,93,100,16.04,overcast clouds
249,Lompoc,US,34.6391,-120.4579,84.78,65,99,5.99,overcast clouds
250,Vanavara,RU,60.34,102.2797,61.32,70,69,3.47,broken clouds
251,College,US,64.8569,-147.8028,65.59,59,75,5.75,broken clouds
252,Omsukchan,RU,62.5333,155.8,50.86,99,100,6.42,light rain
253,Cayenne,GF,4.9333,-52.3333,78.84,90,0,2.3,light rain
254,Tucupita,VE,9.0622,-62.051,79.79,92,100,4.7,overcast clouds
255,Sibolga,ID,1.7427,98.7792,76.64,82,26,3.38,scattered clouds
256,Sechura,PE,-5.5569,-80.8222,76.01,62,28,15.19,scattered clouds
257,San Ignacio,BZ,17.1561,-89.0714,93.34,49,40,4.61,scattered clouds
258,Luderitz,NA,-26.6481,15.1594,67.35,23,100,4.76,overcast clouds
259,Santa Cruz,BO,-17.8,-63.1667,87.26,45,20,26.46,few clouds
260,Westport,US,41.1415,-73.3579,84.2,82,90,1.99,overcast clouds
261,Biak,ID,-0.9131,122.8766,74.55,83,65,5.61,broken clouds
262,Victoria Point,AU,-27.5833,153.3,51.35,70,0,1.01,clear sky
263,Srednekolymsk,RU,67.45,153.6833,42.1,70,100,16.24,overcast clouds
264,Machinga,MW,-15.1685,35.3,58.08,70,95,4.79,overcast clouds
265,Altamirano,MX,16.8833,-92.15,76.51,42,85,6.8,overcast clouds
266,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.34,71,0,13.73,clear sky
267,Matata,NZ,-37.8833,176.75,58.84,89,100,18.54,light rain
268,Zyryanka,RU,65.75,150.85,45.64,72,100,16.6,light rain
269,Alugan,PH,12.2188,125.4808,79.23,81,21,6.71,few clouds
270,Riyadh,SA,24.6877,46.7219,96.94,15,0,6.76,clear sky
271,Newport,GB,51.5877,-2.9984,69.12,75,96,5.91,overcast clouds
272,Phon,TH,15.816,102.5998,79.11,87,100,16.93,overcast clouds
273,Maniitsoq,GL,65.4167,-52.9,45.93,73,100,8.79,overcast clouds
274,Todos Santos,MX,23.45,-110.2167,98.01,76,1,11.21,clear sky
275,Ulladulla,AU,-35.35,150.4667,55.09,63,4,12.55,clear sky
276,Nishihara,JP,26.1842,127.7558,80.26,94,75,11.5,light rain
277,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,49,20,18.41,few clouds
278,Tura,IN,25.5198,90.2201,75.56,95,100,5.1,overcast clouds
279,Ayan,RU,56.45,138.1667,60.28,94,90,1.03,overcast clouds
280,Iwanai,JP,42.9744,140.5089,68.29,96,34,5.77,scattered clouds
281,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,83,44,7.27,scattered clouds
282,Constitucion,CL,-35.3333,-72.4167,53.65,86,26,9.13,scattered clouds
283,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,68,0,15.48,clear sky
284,Brownwood,US,31.7093,-98.9912,102.29,19,0,6.69,clear sky
285,Placido De Castro,BR,-10.3353,-67.1856,98.71,25,23,3.24,few clouds
286,Salo,IT,45.6086,10.531,80.26,83,99,7.14,overcast clouds
287,Klaksvik,FO,62.2266,-6.589,52.72,94,100,10.04,overcast clouds
288,Carnarvon,AU,-24.8667,113.6333,51.87,74,0,6.91,clear sky
289,Lakatoro,VU,-16.0999,167.4164,78.08,85,67,4.21,broken clouds
290,Ndjole,GA,-0.1783,10.7649,78.24,69,92,6.96,overcast clouds
291,Lata,PT,40.1629,-8.3327,72.05,96,57,4.88,broken clouds
292,Burnie,AU,-41.0667,145.9167,43.92,85,33,8.99,scattered clouds
293,Pingzhuang,CN,42.0372,119.2889,72.46,75,100,11.59,overcast clouds
294,San Juan,AR,-31.5375,-68.5364,60.58,28,0,4.38,clear sky
295,Belfast,GB,54.5833,-5.9333,68.59,58,5,4.61,clear sky
296,Puerto Carreno,CO,6.189,-67.4859,85.21,62,98,2.84,heavy intensity rain
297,Isangel,VU,-19.55,169.2667,75.0,87,100,12.8,overcast clouds
298,Sitka,US,57.0531,-135.33,57.09,77,75,5.75,light rain
299,Denpasar,ID,-8.65,115.2167,73.06,88,20,2.3,few clouds
300,Muli,MV,2.9167,73.5667,81.75,73,79,13.44,broken clouds
301,Krasnoarmeysk,RU,51.0239,45.6969,68.29,61,3,3.27,clear sky
302,Kuusamo,FI,65.9667,29.1833,59.04,88,0,5.75,clear sky
303,Delvada,IN,20.7667,71.0333,79.65,86,100,9.19,overcast clouds
304,Caraballeda,VE,10.6112,-66.8522,86.07,74,40,5.75,scattered clouds
305,Dukat,RU,62.55,155.55,53.2,98,100,5.14,light rain
306,Nizwa,OM,22.9333,57.5333,90.37,49,49,5.95,scattered clouds
307,Gamboma,CG,-1.8764,15.8644,82.96,35,94,1.7,overcast clouds
308,Mut,TR,36.6439,33.4389,80.55,35,1,6.85,clear sky
309,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,11.5,broken clouds
310,Talara,PE,-4.5772,-81.2719,75.96,78,0,13.8,clear sky
311,Two Rivers,US,44.1539,-87.5693,88.29,39,1,10.47,clear sky
312,Helong,CN,42.5397,128.9972,68.74,98,100,1.9,overcast clouds
313,Kendallville,US,41.4414,-85.265,87.12,48,75,6.91,broken clouds
314,Mogadishu,SO,2.0371,45.3438,76.55,77,91,20.45,light rain
315,Adrar,MR,20.5022,-10.0711,100.99,7,17,8.79,few clouds
316,Brattleboro,US,42.8509,-72.5579,82.78,86,91,1.01,overcast clouds
317,General Roca,AR,-39.0333,-67.5833,55.8,45,76,18.01,light rain
318,Paita,PE,-5.0892,-81.1144,75.76,74,19,18.16,few clouds
319,Shu,KZ,43.5983,73.7614,81.23,19,0,7.23,clear sky
320,Flin Flon,CA,54.7682,-101.865,62.44,77,40,8.05,scattered clouds
321,Kitimat,CA,54.0524,-128.6534,61.18,88,89,3.2,light rain
322,Seoul,KR,37.5683,126.9778,81.84,66,20,3.27,few clouds
323,Merauke,ID,-8.4667,140.3333,76.66,79,100,8.55,overcast clouds
324,Tiksi,RU,71.6872,128.8694,48.25,81,100,6.38,overcast clouds
325,Ibipeba,BR,-11.6408,-42.0111,77.36,38,31,10.16,scattered clouds
326,Barcelos,PT,41.5388,-8.6151,71.28,90,35,5.12,scattered clouds
327,Ekhabi,RU,53.5102,142.9671,70.39,79,100,8.72,overcast clouds
328,Tuatapere,NZ,-46.1333,167.6833,46.81,95,100,4.74,light rain
329,Kupang,ID,-10.1667,123.5833,70.9,77,6,4.7,clear sky
330,Athabasca,CA,54.7169,-113.2854,76.82,25,97,11.21,overcast clouds
331,Pinega,RU,64.7001,43.3936,46.45,85,76,1.72,broken clouds
332,Shenkursk,RU,62.1091,42.896,57.33,67,98,3.56,overcast clouds
333,Praia,CV,14.9215,-23.5087,77.54,65,40,12.66,scattered clouds
334,Luau,AO,-10.7073,22.2247,63.77,32,4,5.55,clear sky
335,Manggar,ID,-2.8833,108.2667,81.03,73,3,14.2,clear sky
336,Kargasok,RU,59.0556,80.8572,63.0,81,94,2.51,overcast clouds
337,Rock Springs,US,41.5875,-109.2029,89.04,12,1,7.0,clear sky
338,Northam,GB,51.0333,-4.2167,68.31,86,47,5.32,scattered clouds
339,Mackay,AU,-21.15,149.2,58.62,50,8,8.57,clear sky
340,Bonthe,SL,7.5264,-12.505,76.95,80,100,7.25,overcast clouds
